order_item_id,order_id,product_id,quantity,unit_price,customer_id,order_date,total_amount,customer_name,city,signup_date,product_name,category,price
34,O00011,P0213,1,62876,C0146,10/23/2025,215925,Customer 146,Pune,3/20/2024,Chair 88,Furniture,62876
35,O00011,P0193,3,38869,C0146,10/23/2025,215925,Customer 146,Pune,3/20/2024,Shelf 68,Furniture,38869
36,O00012,P0264,2,30892,C0814,2/17/2025,320716,Customer 814,Hyderabad,4/9/2024,Jeans 14,Fashion,30892
37,O00012,P0384,2,59030,C0814,2/17/2025,320716,Customer 814,Hyderabad,4/9/2024,Vacuum 9,Home,59030
38,O00012,P0143,2,68184,C0814,2/17/2025,320716,Customer 814,Hyderabad,4/9/2024,Chair 18,Furniture,68184
39,O00012,P0356,2,2252,C0814,2/17/2025,320716,Customer 814,Hyderabad,4/9/2024,Jeans 106,Fashion,2252
40,O00013,P0375,2,20414,C0596,1/2/2025,40828,Customer 596,Kolkata,11/23/2024,Jeans 125,Fashion,20414
41,O00014,P0436,3,34113,C0651,12/7/2025,166270,Customer 651,Ahmedabad,4/30/2024,Mixer 61,Home,34113
42,O00014,P0033,2,3645,C0651,12/7/2025,166270,Customer 651,Ahmedabad,4/30/2024,Monitor 33,Electronics,3645
43,O00014,P0408,1,56641,C0651,12/7/2025,166270,Customer 651,Ahmedabad,4/30/2024,Bottle 33,Home,56641
44,O00015,P0254,2,4422,C0992,8/8/2025,124858,Customer 992,Kolkata,11/4/2024,Shoes 4,Fashion,4422
45,O00015,P0138,2,58007,C0992,8/8/2025,124858,Customer 992,Kolkata,11/4/2024,Desk 13,Furniture,58007
46,O00016,P0067,2,63500,C0346,10/8/2025,390120,Customer 346,Delhi,11/29/2024,Headphones 67,Electronics,63500
47,O00016,P0290,3,28644,C0346,10/8/2025,390120,Customer 346,Delhi,11/29/2024,T-Shirt 40,Fashion,28644
48,O00016,P0437,1,67135,C0346,10/8/2025,390120,Customer 346,Delhi,11/29/2024,Air Fryer 62,Home,67135
49,O00016,P0249,1,69921,C0346,10/8/2025,390120,Customer 346,Delhi,11/29/2024,Lamp 124,Furniture,69921
50,O00016,P0404,1,40132,C0346,10/8/2025,390120,Customer 346,Delhi,11/29/2024,Air Fryer 29,Home,40132
51,O00017,P0064,1,54802,C0642,8/24/2025,54802,Customer 642,Lucknow,6/16/2024,Phone 64,Electronics,54802
52,O00018,P0491,2,18095,C0452,8/22/2025,36190,Customer 452,Delhi,11/13/2024,Vacuum 116,Home,18095
53,O00019,P0452,2,9004,C0208,12/19/2025,84034,Customer 208,Delhi,7/5/2024,Bottle 77,Home,9004
54,O00019,P0333,1,66026,C0208,12/19/2025,84034,Customer 208,Delhi,7/5/2024,Shoes 83,Fashion,66026
55,O00020,P0336,2,31784,C0896,5/21/2025,63568,Customer 896,Chennai,5/2/2024,T-Shirt 86,Fashion,31784
56,O00021,P0341,1,60361,C0257,2/12/2025,251539,Customer 257,Bangalore,12/12/2024,Jacket 91,Fashion,60361
57,O00021,P0463,1,59126,C0257,2/12/2025,251539,Customer 257,Bangalore,12/12/2024,Air Fryer 88,Home,59126
58,O00021,P0333,2,66026,C0257,2/12/2025,251539,Customer 257,Bangalore,12/12/2024,Shoes 83,Fashion,66026
59,O00022,P0220,1,8294,C0641,6/6/2025,103646,Customer 641,Ahmedabad,11/13/2024,Desk 95,Furniture,8294
60,O00022,P0336,3,31784,C0641,6/6/2025,103646,Customer 641,Ahmedabad,11/13/2024,T-Shirt 86,Fashion,31784
61,O00023,P0245,1,69516,C0098,1/1/2025,99114,Customer 98,Chennai,12/31/2024,Lamp 120,Furniture,69516
62,O00023,P0040,3,9866,C0098,1/1/2025,99114,Customer 98,Chennai,12/31/2024,Monitor 40,Electronics,9866
63,O00024,P0005,1,47667,C0232,9/23/2025,259397,Customer 232,Delhi,6/18/2024,Headphones 5,Electronics,47667
64,O00024,P0357,2,19099,C0232,9/23/2025,259397,Customer 232,Delhi,6/18/2024,T-Shirt 107,Fashion,19099
65,O00024,P0176,3,37609,C0232,9/23/2025,259397,Customer 232,Delhi,6/18/2024,Shelf 51,Furniture,37609
66,O00024,P0419,1,60705,C0232,9/23/2025,259397,Customer 232,Delhi,6/18/2024,Mixer 44,Home,60705
67,O00025,P0197,3,12702,C0490,2/6/2025,95010,Customer 490,Jaipur,3/30/2024,Lamp 72,Furniture,12702
68,O00025,P0046,1,56904,C0490,2/6/2025,95010,Customer 490,Jaipur,3/30/2024,Phone 46,Electronics,56904
69,O00026,P0452,2,9004,C0106,6/10/2025,233220,Customer 106,Pune,10/28/2024,Bottle 77,Home,9004
70,O00026,P0154,1,41755,C0106,6/10/2025,233220,Customer 106,Pune,10/28/2024,Lamp 29,Furniture,41755
71,O00026,P0071,3,57819,C0106,6/10/2025,233220,Customer 106,Pune,10/28/2024,Phone 71,Electronics,57819
72,O00027,P0272,3,45343,C0694,3/15/2025,136029,Customer 694,Jaipur,2/25/2024,Shoes 22,Fashion,45343
73,O00028,P0226,3,7492,C0009,11/9/2025,27439,Customer 9,Pune,4/21/2024,Lamp 101,Furniture,7492
74,O00028,P0180,1,4963,C0009,11/9/2025,27439,Customer 9,Pune,4/21/2024,Chair 55,Furniture,4963
75,O00029,P0316,1,46360,C0644,3/19/2025,171793,Customer 644,Jaipur,11/21/2024,T-Shirt 66,Fashion,46360
76,O00029,P0352,1,62524,C0644,3/19/2025,171793,Customer 644,Jaipur,11/21/2024,T-Shirt 102,Fashion,62524
77,O00029,P0227,1,17494,C0644,3/19/2025,171793,Customer 644,Jaipur,11/21/2024,Lamp 102,Furniture,17494
78,O00029,P0441,1,45415,C0644,3/19/2025,171793,Customer 644,Jaipur,11/21/2024,Air Fryer 66,Home,45415
79,O00030,P0374,2,10952,C0771,3/5/2025,173805,Customer 771,Kolkata,8/14/2024,Shoes 124,Fashion,10952
80,O00030,P0197,1,12702,C0771,3/5/2025,173805,Customer 771,Kolkata,8/14/2024,Lamp 72,Furniture,12702
81,O00030,P0180,1,4963,C0771,3/5/2025,173805,Customer 771,Kolkata,8/14/2024,Chair 55,Furniture,4963
82,O00030,P0494,2,54677,C0771,3/5/2025,173805,Customer 771,Kolkata,8/14/2024,Vacuum 119,Home,54677
83,O00030,P0220,3,8294,C0771,3/5/2025,173805,Customer 771,Kolkata,8/14/2024,Desk 95,Furniture,8294
84,O00031,P0308,3,34380,C0087,5/8/2025,396088,Customer 87,Pune,1/30/2024,Shoes 58,Fashion,34380
85,O00031,P0370,1,49407,C0087,5/8/2025,396088,Customer 87,Pune,1/30/2024,Jeans 120,Fashion,49407
86,O00031,P0312,3,32408,C0087,5/8/2025,396088,Customer 87,Pune,1/30/2024,Jacket 62,Fashion,32408
87,O00031,P0146,2,41324,C0087,5/8/2025,396088,Customer 87,Pune,1/30/2024,Lamp 21,Furniture,41324
88,O00031,P0399,1,63669,C0087,5/8/2025,396088,Customer 87,Pune,1/30/2024,Bottle 24,Home,63669
89,O00032,P0097,1,65066,C0531,11/7/2025,338784,Customer 531,Kolkata,3/15/2024,Headphones 97,Electronics,65066
90,O00032,P0383,1,24761,C0531,11/7/2025,338784,Customer 531,Kolkata,3/15/2024,Mixer 8,Home,24761
91,O00032,P0201,2,50475,C0531,11/7/2025,338784,Customer 531,Kolkata,3/15/2024,Shelf 76,Furniture,50475
92,O00032,P0152,2,39208,C0531,11/7/2025,338784,Customer 531,Kolkata,3/15/2024,Chair 27,Furniture,39208
93,O00032,P0331,1,69591,C0531,11/7/2025,338784,Customer 531,Kolkata,3/15/2024,Shoes 81,Fashion,69591
94,O00033,P0037,2,40739,C0247,9/13/2025,346909,Customer 247,Hyderabad,2/5/2024,Laptop 37,Electronics,40739
95,O00033,P0271,1,65162,C0247,9/13/2025,346909,Customer 247,Hyderabad,2/5/2024,Jacket 21,Fashion,65162
96,O00033,P0456,2,32170,C0247,9/13/2025,346909,Customer 247,Hyderabad,2/5/2024,Air Fryer 81,Home,32170
97,O00033,P0007,3,20311,C0247,9/13/2025,346909,Customer 247,Hyderabad,2/5/2024,Keyboard 7,Electronics,20311
98,O00033,P0185,2,37498,C0247,9/13/2025,346909,Customer 247,Hyderabad,2/5/2024,Shelf 60,Furniture,37498
99,O00034,P0391,1,32016,C0375,10/7/2025,42734,Customer 375,Jaipur,11/21/2024,Mixer 16,Home,32016
100,O00034,P0242,1,10718,C0375,10/7/2025,42734,Customer 375,Jaipur,11/21/2024,Lamp 117,Furniture,10718
101,O00035,P0135,1,19569,C0602,2/4/2025,19569,Customer 602,Hyderabad,10/19/2024,Lamp 10,Furniture,19569
102,O00036,P0260,3,52925,C0041,1/31/2025,346604,Customer 41,Jaipur,3/24/2024,Shoes 10,Fashion,52925
103,O00036,P0147,2,60449,C0041,1/31/2025,346604,Customer 41,Jaipur,3/24/2024,Chair 22,Furniture,60449
104,O00036,P0322,2,18221,C0041,1/31/2025,346604,Customer 41,Jaipur,3/24/2024,Jacket 72,Fashion,18221
105,O00036,P0365,3,10163,C0041,1/31/2025,346604,Customer 41,Jaipur,3/24/2024,T-Shirt 115,Fashion,10163
106,O00037,P0276,2,49543,C0412,2/12/2025,377296,Customer 412,Chennai,5/18/2024,Jeans 26,Fashion,49543
107,O00037,P0316,1,46360,C0412,2/12/2025,377296,Customer 412,Chennai,5/18/2024,T-Shirt 66,Fashion,46360
108,O00037,P0079,3,31885,C0412,2/12/2025,377296,Customer 412,Chennai,5/18/2024,Headphones 79,Electronics,31885
109,O00037,P0143,1,68184,C0412,2/12/2025,377296,Customer 412,Chennai,5/18/2024,Chair 18,Furniture,68184
110,O00037,P0043,1,68011,C0412,2/12/2025,377296,Customer 412,Chennai,5/18/2024,Monitor 43,Electronics,68011
111,O00038,P0301,3,67415,C0550,6/17/2025,564356,Customer 550,Kolkata,8/30/2024,Jeans 51,Fashion,67415
112,O00038,P0325,3,66487,C0550,6/17/2025,564356,Customer 550,Kolkata,8/30/2024,T-Shirt 75,Fashion,66487
113,O00038,P0391,3,32016,C0550,6/17/2025,564356,Customer 550,Kolkata,8/30/2024,Mixer 16,Home,32016
114,O00038,P0428,1,66602,C0550,6/17/2025,564356,Customer 550,Kolkata,8/30/2024,Vacuum 53,Home,66602
115,O00039,P0374,1,10952,C0318,12/24/2025,158698,Customer 318,Delhi,9/1/2024,Shoes 124,Fashion,10952
116,O00039,P0489,1,7226,C0318,12/24/2025,158698,Customer 318,Delhi,9/1/2024,Vacuum 114,Home,7226
117,O00039,P0434,1,56620,C0318,12/24/2025,158698,Customer 318,Delhi,9/1/2024,Bottle 59,Home,56620
118,O00039,P0123,2,41950,C0318,12/24/2025,158698,Customer 318,Delhi,9/1/2024,Keyboard 123,Electronics,41950
119,O00040,P0312,3,32408,C0119,8/21/2025,366532,Customer 119,Mumbai,2/18/2024,Jacket 62,Fashion,32408
120,O00040,P0029,3,47581,C0119,8/21/2025,366532,Customer 119,Mumbai,2/18/2024,Phone 29,Electronics,47581
121,O00040,P0159,1,38270,C0119,8/21/2025,366532,Customer 119,Mumbai,2/18/2024,Chair 34,Furniture,38270
122,O00040,P0342,1,29803,C0119,8/21/2025,366532,Customer 119,Mumbai,2/18/2024,T-Shirt 92,Fashion,29803
123,O00040,P0380,1,58492,C0119,8/21/2025,366532,Customer 119,Mumbai,2/18/2024,Bottle 5,Home,58492
124,O00041,P0084,2,50551,C0725,3/12/2025,101102,Customer 725,Mumbai,2/4/2024,Headphones 84,Electronics,50551
125,O00042,P0265,1,42230,C0976,6/27/2025,334999,Customer 976,Hyderabad,1/25/2024,Jeans 15,Fashion,42230
126,O00042,P0401,2,32521,C0976,6/27/2025,334999,Customer 976,Hyderabad,1/25/2024,Bottle 26,Home,32521
127,O00042,P0422,1,65644,C0976,6/27/2025,334999,Customer 976,Hyderabad,1/25/2024,Vacuum 47,Home,65644
128,O00042,P0370,3,49407,C0976,6/27/2025,334999,Customer 976,Hyderabad,1/25/2024,Jeans 120,Fashion,49407
129,O00042,P0133,2,6931,C0976,6/27/2025,334999,Customer 976,Hyderabad,1/25/2024,Chair 8,Furniture,6931
130,O00043,P0172,2,879,C0751,3/2/2025,1758,Customer 751,Chennai,5/19/2024,Chair 47,Furniture,879
131,O00044,P0135,3,19569,C0279,9/26/2025,58707,Customer 279,Kolkata,4/9/2024,Lamp 10,Furniture,19569
132,O00045,P0255,2,2250,C0999,10/23/2025,4500,Customer 999,Ahmedabad,7/5/2024,Jacket 5,Fashion,2250
133,O00046,P0256,3,27211,C0524,7/4/2025,81633,Customer 524,Mumbai,8/24/2024,T-Shirt 6,Fashion,27211
134,O00047,P0131,1,3692,C0171,7/8/2025,29168,Customer 171,Delhi,2/7/2024,Shelf 6,Furniture,3692
135,O00047,P0396,3,8492,C0171,7/8/2025,29168,Customer 171,Delhi,2/7/2024,Air Fryer 21,Home,8492
136,O00048,P0380,1,58492,C0691,3/1/2025,89407,Customer 691,Jaipur,2/2/2024,Bottle 5,Home,58492
137,O00048,P0261,1,30915,C0691,3/1/2025,89407,Customer 691,Jaipur,2/2/2024,Jacket 11,Fashion,30915
138,O00049,P0024,2,58541,C0880,1/7/2025,138518,Customer 880,Bangalore,4/25/2024,Phone 24,Electronics,58541
139,O00049,P0242,2,10718,C0880,1/7/2025,138518,Customer 880,Bangalore,4/25/2024,Lamp 117,Furniture,10718
140,O00050,P0477,1,41249,C0943,3/18/2025,192821,Customer 943,Delhi,8/7/2024,Air Fryer 102,Home,41249
141,O00050,P0492,3,50524,C0943,3/18/2025,192821,Customer 943,Delhi,8/7/2024,Air Fryer 117,Home,50524
142,O00051,P0115,3,66931,C0823,12/2/2025,301771,Customer 823,Jaipur,10/23/2024,Keyboard 115,Electronics,66931
143,O00051,P0165,2,18192,C0823,12/2/2025,301771,Customer 823,Jaipur,10/23/2024,Shelf 40,Furniture,18192
144,O00051,P0128,2,2380,C0823,12/2/2025,301771,Customer 823,Jaipur,10/23/2024,Lamp 3,Furniture,2380
145,O00051,P0214,1,59834,C0823,12/2/2025,301771,Customer 823,Jaipur,10/23/2024,Chair 89,Furniture,59834
146,O00052,P0258,3,58715,C0586,7/10/2025,176145,Customer 586,Lucknow,9/11/2024,Shoes 8,Fashion,58715
147,O00053,P0115,3,66931,C0924,1/27/2025,253191,Customer 924,Bangalore,8/29/2024,Keyboard 115,Electronics,66931
148,O00053,P0412,1,52398,C0924,1/27/2025,253191,Customer 924,Bangalore,8/29/2024,Air Fryer 37,Home,52398
149,O00054,P0450,2,12995,C0977,7/25/2025,25990,Customer 977,Mumbai,5/19/2024,Vacuum 75,Home,12995
150,O00055,P0168,2,30718,C0887,5/25/2025,172462,Customer 887,Kolkata,11/1/2024,Chair 43,Furniture,30718
151,O00055,P0045,1,24050,C0887,5/25/2025,172462,Customer 887,Kolkata,11/1/2024,Keyboard 45,Electronics,24050
152,O00055,P0284,2,43488,C0887,5/25/2025,172462,Customer 887,Kolkata,11/1/2024,T-Shirt 34,Fashion,43488
153,O00056,P0402,2,25830,C0206,5/30/2025,307311,Customer 206,Bangalore,8/8/2024,Vacuum 27,Home,25830
154,O00056,P0156,2,37921,C0206,5/30/2025,307311,Customer 206,Bangalore,8/8/2024,Shelf 31,Furniture,37921
155,O00056,P0379,3,880,C0206,5/30/2025,307311,Customer 206,Bangalore,8/8/2024,Mixer 4,Home,880
156,O00056,P0319,2,68874,C0206,5/30/2025,307311,Customer 206,Bangalore,8/8/2024,Shoes 69,Fashion,68874
157,O00056,P0125,1,39421,C0206,5/30/2025,307311,Customer 206,Bangalore,8/8/2024,Keyboard 125,Electronics,39421
158,O00057,P0078,2,14117,C0751,10/7/2025,59366,Customer 751,Chennai,5/19/2024,Keyboard 78,Electronics,14117
159,O00057,P0004,1,31132,C0751,10/7/2025,59366,Customer 751,Chennai,5/19/2024,Laptop 4,Electronics,31132
160,O00058,P0326,1,49116,C0239,10/5/2025,74044,Customer 239,Ahmedabad,11/6/2024,Jacket 76,Fashion,49116
161,O00058,P0430,2,11338,C0239,10/5/2025,74044,Customer 239,Ahmedabad,11/6/2024,Bottle 55,Home,11338
162,O00058,P0356,1,2252,C0239,10/5/2025,74044,Customer 239,Ahmedabad,11/6/2024,Jeans 106,Fashion,2252
163,O00059,P0435,1,1582,C0778,12/3/2025,158690,Customer 778,Chennai,12/7/2024,Mixer 60,Home,1582
164,O00059,P0378,1,14165,C0778,12/3/2025,158690,Customer 778,Chennai,12/7/2024,Bottle 3,Home,14165
165,O00059,P0373,3,32502,C0778,12/3/2025,158690,Customer 778,Chennai,12/7/2024,Jeans 123,Fashion,32502
166,O00059,P0158,1,45437,C0778,12/3/2025,158690,Customer 778,Chennai,12/7/2024,Lamp 33,Furniture,45437
167,O00060,P0498,1,4485,C0430,9/9/2025,4485,Customer 430,Jaipur,11/22/2024,Bottle 123,Home,4485
168,O00061,P0023,1,59450,C0729,5/24/2025,59450,Customer 729,Delhi,10/11/2024,Laptop 23,Electronics,59450
169,O00062,P0359,3,21492,C0919,9/24/2025,204922,Customer 919,Pune,7/10/2024,Jeans 109,Fashion,21492
170,O00062,P0459,1,30589,C0919,9/24/2025,204922,Customer 919,Pune,7/10/2024,Vacuum 84,Home,30589
171,O00062,P0191,3,33920,C0919,9/24/2025,204922,Customer 919,Pune,7/10/2024,Lamp 66,Furniture,33920
172,O00062,P0235,1,8097,C0919,9/24/2025,204922,Customer 919,Pune,7/10/2024,Desk 110,Furniture,8097
173,O00063,P0039,2,54043,C0518,3/10/2025,247366,Customer 518,Lucknow,11/18/2024,Keyboard 39,Electronics,54043
174,O00063,P0304,3,26824,C0518,3/10/2025,247366,Customer 518,Lucknow,11/18/2024,Jeans 54,Fashion,26824
175,O00063,P0291,1,27579,C0518,3/10/2025,247366,Customer 518,Lucknow,11/18/2024,Jacket 41,Fashion,27579
176,O00063,P0032,1,31229,C0518,3/10/2025,247366,Customer 518,Lucknow,11/18/2024,Phone 32,Electronics,31229
177,O00064,P0475,3,22813,C0299,5/14/2025,310087,Customer 299,Jaipur,9/23/2024,Vacuum 100,Home,22813
178,O00064,P0411,3,41380,C0299,5/14/2025,310087,Customer 299,Jaipur,9/23/2024,Vacuum 36,Home,41380
179,O00064,P0202,2,58754,C0299,5/14/2025,310087,Customer 299,Jaipur,9/23/2024,Chair 77,Furniture,58754
180,O00065,P0120,1,60098,C0326,8/20/2025,187782,Customer 326,Hyderabad,7/18/2024,Keyboard 120,Electronics,60098
181,O00065,P0039,1,54043,C0326,8/20/2025,187782,Customer 326,Hyderabad,7/18/2024,Keyboard 39,Electronics,54043
182,O00065,P0484,3,24547,C0326,8/20/2025,187782,Customer 326,Hyderabad,7/18/2024,Vacuum 109,Home,24547
183,O00066,P0085,2,55005,C0112,3/21/2025,110010,Customer 112,Chennai,5/1/2024,Keyboard 85,Electronics,55005
184,O00067,P0062,1,10846,C0478,6/10/2025,188244,Customer 478,Kolkata,12/24/2024,Laptop 62,Electronics,10846
185,O00067,P0275,2,19758,C0478,6/10/2025,188244,Customer 478,Kolkata,12/24/2024,Jacket 25,Fashion,19758
186,O00067,P0184,2,14264,C0478,6/10/2025,188244,Customer 478,Kolkata,12/24/2024,Shelf 59,Furniture,14264
187,O00067,P0494,2,54677,C0478,6/10/2025,188244,Customer 478,Kolkata,12/24/2024,Vacuum 119,Home,54677
188,O00068,P0081,3,59129,C0272,3/3/2025,177387,Customer 272,Chennai,4/30/2024,Headphones 81,Electronics,59129
189,O00069,P0021,1,26437,C0312,12/27/2025,352017,Customer 312,Jaipur,10/4/2024,Monitor 21,Electronics,26437
190,O00069,P0111,1,12872,C0312,12/27/2025,352017,Customer 312,Jaipur,10/4/2024,Phone 111,Electronics,12872
191,O00069,P0428,3,66602,C0312,12/27/2025,352017,Customer 312,Jaipur,10/4/2024,Vacuum 53,Home,66602
192,O00069,P0439,1,51466,C0312,12/27/2025,352017,Customer 312,Jaipur,10/4/2024,Bottle 64,Home,51466
193,O00069,P0168,2,30718,C0312,12/27/2025,352017,Customer 312,Jaipur,10/4/2024,Chair 43,Furniture,30718
194,O00070,P0347,2,1438,C0406,9/20/2025,2876,Customer 406,Lucknow,6/5/2024,Shoes 97,Fashion,1438
195,O00071,P0488,2,41432,C0267,3/31/2025,82864,Customer 267,Jaipur,9/18/2024,Air Fryer 113,Home,41432
196,O00072,P0384,1,59030,C0876,8/20/2025,190411,Customer 876,Hyderabad,1/10/2024,Vacuum 9,Home,59030
197,O00072,P0282,1,51110,C0876,8/20/2025,190411,Customer 876,Hyderabad,1/10/2024,T-Shirt 32,Fashion,51110
198,O00072,P0128,1,2380,C0876,8/20/2025,190411,Customer 876,Hyderabad,1/10/2024,Lamp 3,Furniture,2380
199,O00072,P0049,1,40062,C0876,8/20/2025,190411,Customer 876,Hyderabad,1/10/2024,Phone 49,Electronics,40062
200,O00072,P0237,1,37829,C0876,8/20/2025,190411,Customer 876,Hyderabad,1/10/2024,Desk 112,Furniture,37829
201,O00073,P0102,2,53055,C0851,4/24/2025,237398,Customer 851,Jaipur,12/28/2024,Headphones 102,Electronics,53055
202,O00073,P0422,2,65644,C0851,4/24/2025,237398,Customer 851,Jaipur,12/28/2024,Vacuum 47,Home,65644
203,O00074,P0299,3,47288,C0703,11/19/2025,141864,Customer 703,Jaipur,9/8/2024,Jacket 49,Fashion,47288
204,O00075,P0034,1,48553,C0266,2/8/2025,48553,Customer 266,Pune,8/14/2024,Headphones 34,Electronics,48553
205,O00076,P0415,2,49490,C0925,11/27/2025,307585,Customer 925,Jaipur,12/27/2024,Bottle 40,Home,49490
206,O00076,P0066,1,38167,C0925,11/27/2025,307585,Customer 925,Jaipur,12/27/2024,Monitor 66,Electronics,38167
207,O00076,P0048,1,68108,C0925,11/27/2025,307585,Customer 925,Jaipur,12/27/2024,Laptop 48,Electronics,68108
208,O00076,P0464,2,51165,C0925,11/27/2025,307585,Customer 925,Jaipur,12/27/2024,Vacuum 89,Home,51165
209,O00077,P0222,1,43207,C0052,3/28/2025,224428,Customer 52,Chennai,3/14/2024,Chair 97,Furniture,43207
210,O00077,P0421,2,9264,C0052,3/28/2025,224428,Customer 52,Chennai,3/14/2024,Bottle 46,Home,9264
211,O00077,P0371,3,24545,C0052,3/28/2025,224428,Customer 52,Chennai,3/14/2024,Jacket 121,Fashion,24545
212,O00077,P0203,2,43404,C0052,3/28/2025,224428,Customer 52,Chennai,3/14/2024,Shelf 78,Furniture,43404
213,O00077,P0255,1,2250,C0052,3/28/2025,224428,Customer 52,Chennai,3/14/2024,Jacket 5,Fashion,2250
214,O00078,P0141,2,53988,C0363,4/20/2025,150780,Customer 363,Pune,12/19/2024,Chair 16,Furniture,53988
215,O00078,P0144,1,42804,C0363,4/20/2025,150780,Customer 363,Pune,12/19/2024,Chair 19,Furniture,42804
216,O00079,P0316,2,46360,C0036,11/11/2025,434773,Customer 36,Pune,6/30/2024,T-Shirt 66,Fashion,46360
217,O00079,P0126,3,66694,C0036,11/11/2025,434773,Customer 36,Pune,6/30/2024,Shelf 1,Furniture,66694
218,O00079,P0332,2,37776,C0036,11/11/2025,434773,Customer 36,Pune,6/30/2024,Jeans 82,Fashion,37776
219,O00079,P0152,1,39208,C0036,11/11/2025,434773,Customer 36,Pune,6/30/2024,Chair 27,Furniture,39208
220,O00079,P0256,1,27211,C0036,11/11/2025,434773,Customer 36,Pune,6/30/2024,T-Shirt 6,Fashion,27211
221,O00080,P0215,3,54705,C0287,7/16/2025,182505,Customer 287,Pune,10/12/2024,Shelf 90,Furniture,54705
222,O00080,P0103,3,6130,C0287,7/16/2025,182505,Customer 287,Pune,10/12/2024,Headphones 103,Electronics,6130
